UserID,CourseID,Feeback,Likes,RankingScore
65,2459010818,Distributed local policy,true,4
66,6842902339,Focused systematic structure,true,3
67,1752146131,Diverse tertiary database,false,1
68,6756720244,Vision-oriented leading edge core,false,3
69,9713486951,Devolved heuristic policy,false,3
70,8630147121,Programmable impactful approach,false,4
71,537911588,Organized well-modulated application,true,1
72,1106639642,Pre-emptive secondary knowledge user,false,5
73,8465420092,Upgradable regional hub,false,2
74,5875528265,Robust foreground Graphic Interface,true,1
75,2445815061,Right-sized zero administration monitoring,false,2
76,8743558283,Customer-focused full-range superstructure,false,2
77,908546750,Monitored heuristic knowledge base,true,2
78,4213359743,Vision-oriented web-enabled attitude,false,5
79,537621261,Compatible methodical hardware,true,4
80,7443738501,Decentralized asynchronous capability,false,3
81,7918981766,Innovative actuating complexity,true,4
82,5040075936,Versatile next generation budgetary management,true,4
83,5357098859,Devolved coherent matrix,true,2
84,4354251620,Integrated next generation emulation,true,1
85,6164636914,Virtual real-time application,true,5
86,7063996045,Persistent content-based info-mediaries,true,5
87,4484100622,Visionary tangible groupware,true,3
88,7437104040,Function-based logistical capability,true,2
89,8397094156,Re-contextualized high-level forecast,true,1
90,6596581098,Organized neutral info-mediaries,false,2
91,7410570245,Public-key asynchronous encryption,true,5
92,2264974214,Total optimal attitude,true,5
93,6096891144,Expanded well-modulated structure,true,4
94,8686135994,Configurable tertiary help-desk,true,2
95,7882461547,Devolved foreground interface,false,4
96,2913286968,Innovative responsive solution,true,2
97,9870333621,Multi-lateral context-sensitive benchmark,false,1
98,4275937228,Reactive 5th generation encryption,false,2
99,5196618457,Quality-focused 3rd generation customer loyalty,false,5
100,5333406944,Innovative responsive encoding,false,1
101,2452292931,Business-focused zero defect policy,false,5
102,9702921953,Intuitive zero defect firmware,false,4
103,7573961367,Persevering solution-oriented ability,true,1
104,6448794972,Exclusive cohesive synergy,true,3
105,3046041349,Object-based non-volatile encoding,true,2
106,6728835288,Operative composite policy,true,2
107,9294344916,Realigned motivating algorithm,false,4
108,8291776210,Future-proofed needs-based paradigm,true,5
109,1724205692,Down-sized asymmetric utilisation,true,1
110,1851962174,Object-based background firmware,true,2
111,9641968149,Intuitive attitude-oriented focus group,false,5
112,1745605169,Seamless uniform budgetary management,false,1
113,4011600733,Synergistic leading edge help-desk,false,1
114,7903889621,Cross-group motivating internet solution,false,2
115,6408159664,Devolved tangible Graphic Interface,true,3
116,3774365067,Enterprise-wide multi-state parallelism,false,1
117,3305871458,Assimilated reciprocal ability,false,2
118,4529724204,Triple-buffered hybrid pricing structure,false,3
119,4129902288,Down-sized impactful product,false,2
120,4932409397,Inverse mobile superstructure,false,5
121,7534442796,Devolved multi-tasking hierarchy,false,1
122,1353969517,Face to face bifurcated software,false,1
123,1627383905,Implemented methodical methodology,true,1
124,4224726831,Streamlined optimal productivity,true,3
125,3194897616,Centralized logistical utilisation,true,3
126,6501416930,Multi-layered intangible success,true,1
127,6622460493,De-engineered full-range initiative,false,3
128,4522629486,Grass-roots 6th generation implementation,true,4
129,4390936700,Customizable uniform groupware,true,3
130,3883886173,Face to face multi-tasking workforce,true,3
131,7902570923,Multi-layered non-volatile strategy,false,3
132,516466208,Profit-focused well-modulated throughput,false,4
133,5872829426,Future-proofed executive adapter,false,5
134,7095960674,Progressive maximized help-desk,false,5
135,8572628681,Synchronised bi-directional product,true,2
136,5378038170,Enhanced directional open architecture,false,3
137,8337179775,Self-enabling cohesive throughput,true,1
138,3011257884,Self-enabling uniform knowledge user,true,1
139,7723899130,Monitored heuristic middleware,false,2
140,6799680686,Extended tertiary protocol,false,3
141,1592992099,Managed mobile function,true,1
142,4838536364,Team-oriented modular neural-net,true,1
143,5965238436,Compatible needs-based emulation,true,3
144,6435569746,Diverse 4th generation secured line,false,4
145,7977077604,Seamless bifurcated local area network,true,3
146,9199057042,Extended foreground process improvement,false,4
147,8310779852,Switchable maximized benchmark,true,1
148,1638667381,Innovative tangible hardware,true,1
149,9462063915,Pre-emptive mission-critical emulation,false,1
150,9410347459,Business-focused scalable pricing structure,true,4
151,3540772324,Profound value-added capacity,false,4
152,4681074489,Focused reciprocal projection,true,4
153,7648877686,Switchable encompassing support,true,5
154,1252689500,Re-engineered eco-centric strategy,true,2
155,3271196818,Visionary foreground architecture,false,5
156,22121994,Inverse responsive task-force,false,3
157,6692618975,Pre-emptive local synergy,true,5
158,2153753503,Expanded mobile focus group,false,5
159,8791350948,Advanced national model,false,4
160,351770593,Phased asymmetric application,true,2
161,610582887,Monitored intangible contingency,false,2
162,9862039396,Multi-channelled web-enabled solution,true,4
163,9322245840,Re-contextualized object-oriented service-desk,true,4
164,2115833953,Compatible discrete function,false,4
165,973293098,Multi-lateral asymmetric internet solution,false,3
166,211753785,Monitored tertiary portal,true,5
167,6856487525,Customizable transitional time-frame,false,4
168,3425452371,Progressive executive open system,false,2
169,1368127193,Team-oriented reciprocal help-desk,false,5
170,9093681060,User-friendly encompassing product,false,4
171,2564859658,Streamlined homogeneous local area network,true,3
172,9217492450,Balanced composite service-desk,true,1
173,1064626610,Synergistic even-keeled open architecture,false,1
174,9850341009,Up-sized contextually-based superstructure,true,5
175,9796032880,Phased zero administration matrices,true,3
176,5395365605,Synchronised systemic firmware,false,5
177,2576817696,Diverse tangible capacity,true,1
178,9203373543,Multi-layered fault-tolerant instruction set,true,4
179,60651490,Automated object-oriented flexibility,false,4
180,6224408300,Visionary regional firmware,false,2
181,4909348247,Enterprise-wide empowering middleware,false,4
182,2663554685,User-centric user-facing service-desk,false,2
183,2159988421,Visionary client-driven software,true,5
184,6082637313,Customer-focused intermediate capability,false,2
185,4196340083,Monitored executive product,false,3
186,4754127552,Horizontal encompassing solution,false,3
187,3858831743,Open-architected cohesive archive,false,1
188,3748733445,Enterprise-wide mobile help-desk,false,3
189,1779871198,Reverse-engineered mobile hardware,true,4
190,4521055192,Customer-focused attitude-oriented paradigm,false,3
191,1744073864,Pre-emptive fault-tolerant moratorium,true,3
192,9360025933,Quality-focused client-server help-desk,false,4
193,1040206255,User-friendly attitude-oriented leverage,false,4
194,813649595,Streamlined full-range protocol,true,1
195,1057092363,Switchable heuristic benchmark,false,4
196,661328546,Open-source national productivity,true,2
197,5813531629,Organized non-volatile internet solution,false,1
198,1254431454,Customizable neutral synergy,true,4
199,1175949728,Secured directional portal,true,2
200,5853674595,Monitored transitional groupware,false,4
201,238953440,Open-architected even-keeled projection,false,1
202,2696506256,Phased logistical system engine,false,2
203,6045519442,Team-oriented bottom-line open system,false,2
204,6177470521,Triple-buffered maximized moratorium,false,3
205,28005406,Front-line transitional matrices,true,5
206,7656688315,Up-sized neutral matrix,false,4
207,576062642,Customizable fresh-thinking capacity,true,4
208,5926277019,Open-source transitional parallelism,false,2
209,9098346707,Proactive intermediate Graphic Interface,true,5
210,5972825139,Ergonomic exuding database,false,3
211,4732223400,Synchronised transitional hierarchy,true,4
212,8218308431,De-engineered radical artificial intelligence,false,2
213,3948761949,Optional executive attitude,true,1
214,857670921,Up-sized asynchronous groupware,true,4
215,7751189355,Decentralized asynchronous flexibility,true,1
216,5170950969,Cloned real-time paradigm,false,4
217,1585429961,Cross-group object-oriented core,true,5
218,4814248903,Multi-channelled needs-based parallelism,false,3
219,1970819413,Enhanced impactful challenge,false,3
220,1187439231,Re-engineered upward-trending analyzer,true,3
221,3091423603,Public-key systemic knowledge base,true,5
222,1532334869,Decentralized neutral website,false,3
223,3953923374,Configurable optimal Graphic Interface,true,5
224,8593397433,Managed real-time infrastructure,false,4
225,695281518,Centralized hybrid moratorium,false,1
226,7449033429,Upgradable optimizing structure,true,3
227,1012564932,Managed zero administration customer loyalty,true,4
228,282731024,Reactive transitional circuit,true,1
229,4981183739,Programmable heuristic complexity,false,2
230,7577671827,Innovative value-added infrastructure,false,1
231,5043662123,User-friendly upward-trending complexity,true,3
232,5118236053,Cloned explicit standardization,false,5
233,7537846049,Self-enabling static initiative,true,3
234,4433925144,Optional 3rd generation artificial intelligence,true,4
235,201492377,Monitored human-resource structure,true,2
236,6174272281,Robust grid-enabled emulation,false,5
237,8159496311,Robust didactic firmware,false,1
238,6579627360,Proactive next generation core,true,3
239,2228325309,Inverse system-worthy capability,true,2
240,7871355430,Polarised multi-state throughput,true,4
241,3692844972,Advanced holistic data-warehouse,true,1
242,899175783,Streamlined motivating policy,false,1
243,2006961985,Ameliorated radical intranet,false,3
244,5348751448,Streamlined value-added capability,false,5
245,228748631,Innovative grid-enabled matrix,false,2
246,5836540705,Face to face optimizing support,true,2
247,2340606365,Cross-group scalable benchmark,false,4
248,1997769492,Synchronised bottom-line structure,true,5
249,7719038975,Open-source neutral capability,false,1
250,5657371313,Object-based 4th generation functionalities,false,4
251,3420770235,Customizable grid-enabled process improvement,false,1
252,3092549058,Down-sized real-time hub,true,2
253,6958463544,Advanced composite initiative,true,1
254,6641809048,Cloned maximized customer loyalty,false,5
255,1994252111,Intuitive holistic array,true,1
256,9916750335,Ergonomic homogeneous methodology,false,5
257,1547859334,User-friendly composite workforce,true,4
258,925281255,Diverse client-driven complexity,false,4
259,233628339,Profound tertiary neural-net,false,4
260,5670458958,Innovative regional website,true,2
261,3073661409,Monitored modular help-desk,false,5
262,7490718538,Programmable full-range project,false,4
263,5665526908,Persevering system-worthy standardization,true,5
264,8449214483,Adaptive tertiary concept,false,2
265,5781489886,Front-line global support,true,3
266,1704491517,Configurable demand-driven instruction set,true,4
267,3012581855,Automated tertiary firmware,true,2
268,3354207353,Profit-focused bandwidth-monitored knowledge base,false,1
269,9177878159,Multi-channelled dynamic intranet,false,2
270,3052367277,Digitized composite application,true,4
271,6073745605,Synchronised analyzing task-force,false,2
272,895140136,Ameliorated intermediate infrastructure,false,1
273,8681749773,Ergonomic bandwidth-monitored product,true,2
274,9376313992,Upgradable secondary artificial intelligence,true,5
275,6807416946,Profit-focused optimal attitude,true,3
276,8783195,Multi-tiered optimal attitude,true,2
277,3580396897,Horizontal next generation solution,false,3
278,6802027623,Compatible explicit functionalities,false,4
279,466589034,Function-based directional internet solution,false,1
280,8863717729,Streamlined zero defect website,false,2
281,8196100833,Open-source mobile parallelism,true,5
282,1642534374,Reverse-engineered executive functionalities,false,1
283,8149563547,Triple-buffered explicit algorithm,false,1
284,4216992188,Persistent systemic Graphic Interface,true,4
285,3736671040,Open-source homogeneous firmware,false,1
286,1880610914,Reduced coherent portal,false,2
287,9318314396,Decentralized 4th generation infrastructure,false,3
288,4643358157,Front-line static help-desk,false,5
289,6202381124,Customer-focused radical benchmark,false,3
290,2747420019,Re-contextualized executive standardization,true,4
291,3753087335,Cross-platform disintermediate application,true,3
292,3164498586,Up-sized background matrices,true,2
293,7100801818,Exclusive fresh-thinking Graphical User Interface,false,2
294,2222800730,Innovative composite installation,false,4
295,4200879220,Down-sized background solution,true,5
296,306834057,Reduced intermediate ability,true,1
297,5844889479,Monitored value-added customer loyalty,true,1
298,6351845831,Phased static process improvement,false,4
299,4058538562,Distributed 6th generation methodology,true,5
300,6235289618,Versatile tertiary frame,true,3
301,9990498334,Re-contextualized heuristic artificial intelligence,true,1
302,7182104881,Integrated bandwidth-monitored open architecture,false,4
303,8920563403,Diverse even-keeled structure,false,3
304,6120508406,Devolved transitional analyzer,true,1
305,914930699,Monitored fault-tolerant implementation,false,3
306,8644744925,Virtual full-range secured line,true,3
307,2963325398,Intuitive 24/7 data-warehouse,true,5
308,7707987330,Realigned content-based knowledge base,false,2
309,38429039,Face to face radical attitude,false,3
310,3753170321,User-friendly full-range orchestration,true,1
311,974370509,Reactive background artificial intelligence,false,2
312,8369980570,Networked zero administration instruction set,true,5
313,8417076352,Cross-platform asynchronous installation,false,3
314,1735256722,Organized user-facing function,true,5
315,8849936672,Horizontal client-driven superstructure,false,3
316,432750428,Synergistic bottom-line projection,false,4
317,4010507322,Innovative tertiary toolset,true,1
318,3847561952,Progressive optimal info-mediaries,true,4
319,6727102155,Proactive asymmetric product,true,5
320,5267667552,Re-engineered object-oriented groupware,true,1
321,3672232882,User-friendly explicit database,false,1
322,8417164510,Fully-configurable composite support,false,3
323,7934115156,Grass-roots upward-trending parallelism,true,1
324,2927233144,Operative stable challenge,false,4
325,5918841601,Focused actuating workforce,true,1
326,852562829,Fully-configurable discrete customer loyalty,true,4
327,4199018840,Enhanced regional installation,true,2
328,5235703472,Vision-oriented composite moratorium,true,5
329,4153320056,Monitored zero administration support,true,4
330,8600617766,Ameliorated even-keeled adapter,false,2
331,6713865151,Fundamental intermediate definition,false,4
332,7220907737,Robust foreground paradigm,false,1
333,9251554404,Function-based 6th generation array,false,3
334,9700070875,Phased mission-critical pricing structure,true,1
335,8639384878,Integrated zero defect benchmark,true,1
336,7542136224,Adaptive coherent archive,true,5
337,9941190992,Synchronised 5th generation collaboration,false,1
338,8801650930,Future-proofed motivating archive,true,4
339,6127038790,Focused coherent model,true,5
340,7604124836,Grass-roots analyzing middleware,true,4
341,8958253231,Switchable human-resource service-desk,true,1
342,9404735132,Intuitive cohesive software,false,1
343,1045544620,Implemented global extranet,true,1
344,9110402209,Realigned scalable migration,true,3
345,6968013401,Future-proofed encompassing encryption,false,5
346,3560501008,Advanced solution-oriented capacity,false,5
347,8729261686,Assimilated foreground orchestration,true,3
348,4869711362,Automated exuding secured line,false,2
349,5402953325,Progressive composite task-force,true,4
350,6834424997,Integrated multi-state customer loyalty,false,4
351,6034448077,Secured transitional project,false,5
352,2985741157,Synergized dedicated info-mediaries,false,4
353,5491981486,Persevering hybrid definition,false,3
354,9465268577,Devolved encompassing hub,false,5
355,359053912,Mandatory optimizing frame,false,4
356,5577789389,Cross-platform even-keeled paradigm,false,3
357,9977239142,Mandatory value-added system engine,false,1
358,3071285914,Intuitive intermediate budgetary management,true,3
359,176331514,Re-contextualized homogeneous alliance,false,4
360,9513952665,Progressive multi-state Graphical User Interface,false,2
361,3753743836,Right-sized next generation encryption,false,4
362,8060767852,Decentralized bottom-line open architecture,true,2
363,8679151750,Ergonomic logistical artificial intelligence,false,1
364,2610466048,Robust zero tolerance paradigm,true,3
365,3291238990,User-centric interactive approach,false,3
366,4598825499,Grass-roots bi-directional adapter,true,4
367,4268543082,Stand-alone bifurcated archive,false,4
368,9569667893,Sharable system-worthy function,true,5
369,1576314561,Integrated holistic product,true,1
370,7672849026,Front-line coherent extranet,true,3
371,760031576,Optimized maximized capability,false,1
372,7058788189,Balanced responsive matrix,true,3
373,5455268376,Configurable secondary projection,false,1
374,3862384535,Distributed directional moratorium,false,4
375,7085251530,Polarised maximized alliance,false,5
376,6650341134,Progressive bottom-line algorithm,true,2
377,989218112,Customer-focused demand-driven standardization,true,1
378,4160060218,Secured encompassing product,true,5
379,1017987459,Digitized system-worthy task-force,false,3
380,4831578967,Reverse-engineered full-range capability,true,5
381,5169010265,Customer-focused grid-enabled product,false,1
382,9634245129,Programmable incremental groupware,false,4
383,6764610649,Total bifurcated middleware,false,5
384,6105342454,Secured logistical neural-net,false,3
385,5382600317,Enterprise-wide multi-state hub,true,4
386,1639016562,Polarised 4th generation attitude,false,3
387,8393472806,Upgradable 4th generation moratorium,false,4
388,5453971347,Pre-emptive 5th generation installation,true,3
389,9201134746,Self-enabling modular product,false,1
390,3116128561,Mandatory disintermediate emulation,false,3
391,5159509739,Organized 3rd generation hierarchy,true,3
392,2536153320,Horizontal 24 hour interface,true,1
393,6568430293,Cross-platform tangible open system,false,3
394,913243280,Sharable static core,false,2
395,8559536663,De-engineered actuating core,false,3
396,6270255368,Realigned needs-based challenge,false,2
397,2460108761,Diverse logistical data-warehouse,false,3
398,7316365994,Switchable bandwidth-monitored knowledge user,true,1
399,4654260749,Integrated dedicated encoding,false,1
400,5121960778,Robust bandwidth-monitored frame,false,1
401,3373547504,Fundamental dynamic firmware,false,1
402,747496919,Multi-layered 5th generation model,true,1
403,62043412,Monitored neutral capacity,true,3
404,9119091753,Assimilated neutral collaboration,false,4
405,8835173299,Re-engineered regional customer loyalty,true,4
406,4841791876,Open-source client-server leverage,false,1
407,3277258769,Visionary scalable installation,true,2
408,8868470969,Adaptive tertiary software,true,2
409,5001595118,Re-engineered background analyzer,true,2
410,6611757929,Reactive web-enabled neural-net,false,5
411,4724620013,Front-line needs-based moderator,false,2
412,2950794769,Expanded eco-centric utilisation,false,3
413,8168383966,Inverse system-worthy infrastructure,false,1
414,1124827358,Multi-channelled executive database,true,2
415,1641482656,Face to face client-driven data-warehouse,true,4
416,8779189873,Up-sized 5th generation initiative,false,2
417,2650559454,Balanced transitional policy,false,3
418,404260012,Configurable client-server secured line,false,2
419,372679110,Down-sized bandwidth-monitored customer loyalty,false,3
420,7090550273,Exclusive fresh-thinking challenge,false,4
421,6624327685,Compatible regional process improvement,false,4
422,3647526711,Programmable needs-based info-mediaries,false,5
423,6579965983,Advanced value-added contingency,false,3
424,3713718067,Upgradable interactive extranet,false,4
425,3019648610,Optional upward-trending customer loyalty,true,1
426,3839618061,Progressive real-time workforce,false,1
427,2066967459,Self-enabling analyzing firmware,false,2
428,3769182898,Organic encompassing contingency,true,3
429,4777540227,Versatile actuating hardware,false,2
430,6656275362,Enterprise-wide discrete open architecture,true,5
431,5221482169,Right-sized methodical migration,true,2
432,4910691359,Reverse-engineered stable encoding,false,2
433,805185941,Automated scalable product,true,3
434,2473607621,Virtual composite hub,false,2
435,9666136554,Fully-configurable attitude-oriented moratorium,false,2
436,1080790349,Object-based solution-oriented conglomeration,false,5
437,5198496847,Right-sized bandwidth-monitored adapter,false,3
438,3504256451,Devolved zero defect projection,true,1
439,7973180206,Re-engineered value-added architecture,false,1
440,4960892218,Managed dynamic system engine,false,4
441,3964295434,Integrated contextually-based moratorium,false,1
442,5459927072,Devolved local capacity,true,4
443,132643162,Decentralized web-enabled array,true,1
444,2791382895,Profound high-level forecast,true,1
445,4797873698,Reverse-engineered local knowledge base,false,3
446,1075582601,Multi-layered fresh-thinking synergy,false,3
447,8451152201,Secured solution-oriented approach,false,4
448,51080702,Focused multi-state monitoring,true,3
449,4905629292,Phased background standardization,true,5
450,4997882593,Configurable incremental capacity,false,1
451,4760209174,Ergonomic didactic task-force,true,3
452,3472723300,Organic system-worthy capacity,true,2
453,3051523917,Advanced hybrid migration,true,5
454,6299209909,Exclusive cohesive encoding,false,2
455,7479174454,User-centric 24 hour algorithm,false,2
456,4740629682,Upgradable attitude-oriented knowledge user,false,4
457,7940935917,Organized 4th generation capability,true,5
458,3808855193,Multi-lateral demand-driven focus group,true,3
459,9385155636,Grass-roots fault-tolerant firmware,true,4
460,3431041035,Multi-lateral real-time hardware,false,1
461,1986627500,Integrated systematic implementation,false,3
462,4342876345,Reactive exuding toolset,false,5
463,2116898048,Function-based fault-tolerant instruction set,true,1
464,4100360142,Customizable 24 hour focus group,false,4
465,8266018170,Triple-buffered zero defect open architecture,true,1
466,6231535681,Decentralized heuristic standardization,false,5
467,1385854286,Mandatory global parallelism,true,4
468,8883545060,Integrated high-level collaboration,true,5
469,6170514280,Inverse grid-enabled monitoring,true,4
470,6847851635,Inverse optimizing matrix,true,3
471,4089559979,Virtual attitude-oriented frame,false,4
472,1882233093,Switchable systematic Graphic Interface,false,1
473,4234154822,Organized composite standardization,true,1
474,9807752264,Synergistic 4th generation Graphic Interface,true,3
475,7431584997,Down-sized global standardization,true,4
476,4389465163,Programmable asynchronous secured line,false,2
477,8497948211,Organic 24/7 methodology,true,5
478,7655354677,Future-proofed background challenge,false,3
479,4542236315,Robust value-added hardware,true,2
480,4003109384,Organized dynamic strategy,true,4
481,6756469843,Monitored bandwidth-monitored analyzer,true,4
482,2199255816,Reactive web-enabled access,false,4
483,1186465611,Enhanced 24/7 portal,false,1
484,8371092482,Synergistic client-driven instruction set,true,2
485,8692126039,Centralized logistical system engine,true,4
486,8970124578,Synergistic needs-based encoding,false,2
487,6641527506,Fundamental maximized projection,true,4
488,6964989730,Horizontal explicit frame,false,3
489,8103524468,Fully-configurable local capacity,true,2
490,9428747823,Centralized clear-thinking knowledge base,false,1
491,1224158547,Cloned responsive moderator,true,4
492,5196329048,Compatible background function,true,5
493,8484648257,Quality-focused cohesive customer loyalty,true,3
494,9002596545,Phased maximized capacity,false,3
495,7004115852,Realigned asynchronous local area network,false,3
496,3135323714,Multi-tiered interactive knowledge base,true,2
497,8022364991,Ergonomic modular implementation,false,4
498,9431236028,Ameliorated didactic challenge,true,2
499,5115858029,Streamlined asynchronous moderator,true,2
500,6045057376,Proactive mobile toolset,false,2
501,7293849168,Realigned radical strategy,true,3
502,2513569091,Re-engineered eco-centric function,true,3
503,6628243753,Customizable dedicated portal,false,3
504,780407962,Team-oriented human-resource conglomeration,true,2
505,7581758656,Operative real-time Graphical User Interface,false,3
506,2636498656,Quality-focused scalable application,false,5
507,8829942286,Optional stable pricing structure,false,4
508,9993173819,Grass-roots systemic workforce,false,3
509,3436971839,Fundamental object-oriented customer loyalty,false,5
510,8992237758,Re-contextualized zero defect collaboration,true,4
511,3503540296,Public-key holistic capacity,true,5
512,1738949788,Pre-emptive background intranet,false,3
513,2529063915,Intuitive discrete conglomeration,true,1
514,3813665127,Customizable bi-directional pricing structure,true,4
515,6613201200,Versatile intangible concept,false,3
516,6088988282,Extended full-range synergy,true,3
517,2009179137,Digitized neutral conglomeration,true,2
518,5648971427,Horizontal tertiary portal,false,4
519,6027295767,Operative bandwidth-monitored hardware,false,5
520,7164897336,Cloned human-resource support,true,4
521,9821796176,Re-engineered object-oriented Graphic Interface,true,4
522,5638062599,Switchable upward-trending frame,true,1
523,8059544616,Open-architected disintermediate collaboration,false,3
524,2371742325,Synergistic 24 hour standardization,true,4
525,255307616,Advanced 4th generation function,false,4
526,7790538071,Networked logistical toolset,false,1
527,1057665959,Customizable intermediate core,false,5
528,8249231627,Persevering fresh-thinking open system,true,3
529,8541808564,Business-focused client-driven open system,false,1
530,4032562253,Future-proofed hybrid service-desk,true,3
531,8337350881,Total asynchronous framework,true,1
532,1328056104,Phased background intranet,false,1
533,2264815930,Centralized exuding open system,false,3
534,9665709100,Grass-roots empowering product,false,1
535,7282258325,Compatible zero defect model,true,4
536,237398486,Seamless uniform implementation,false,3
537,8301807687,Enterprise-wide upward-trending utilisation,true,1
538,1261939514,Object-based actuating extranet,true,1
539,7702496428,Synergized fresh-thinking product,true,3
540,5465813571,Cloned dedicated approach,true,5
541,6919648466,Diverse tertiary hierarchy,false,1
542,2795238594,Profit-focused actuating challenge,false,3
543,1623000521,Multi-channelled maximized synergy,false,2
544,7240850323,Persevering intermediate moderator,true,5
545,5383666494,De-engineered methodical firmware,true,5
546,2579511318,Profound 24 hour utilisation,false,5
547,9606602400,Re-contextualized optimal emulation,false,3
548,4825343724,Upgradable global benchmark,false,2
549,9909438011,Cross-group systematic contingency,false,1
550,6734604071,User-centric even-keeled process improvement,false,3
551,8892361937,Innovative asynchronous collaboration,false,4
552,4640688458,Quality-focused zero tolerance frame,false,3
553,746413327,Polarised well-modulated info-mediaries,true,5
554,7182079259,Fundamental incremental challenge,true,1
555,3412539406,Devolved content-based model,false,5
556,8400097866,Inverse multi-tasking standardization,false,4
557,693463333,Synchronised attitude-oriented function,true,5
558,9120733003,Programmable multi-state groupware,true,3
559,2804500632,Monitored secondary functionalities,false,2
560,7975286702,De-engineered didactic structure,false,3
561,2530189412,Customizable optimizing ability,true,2
562,937899879,Front-line responsive monitoring,false,4
563,5573559443,Front-line encompassing instruction set,false,5
564,1576450252,Ergonomic clear-thinking core,false,2
565,6420457149,Organic encompassing focus group,false,1
566,9823646996,Progressive responsive toolset,false,1
567,5044731048,Balanced bi-directional intranet,true,4
568,4560232245,Open-source transitional frame,false,2
569,3749606862,Pre-emptive coherent attitude,false,5
570,738648078,Compatible intermediate throughput,false,3
571,6615036126,Horizontal needs-based secured line,false,3
572,3340143544,Assimilated upward-trending infrastructure,true,4
573,7040222493,Organized tangible product,false,1
574,2167137362,Front-line 24/7 infrastructure,false,1
575,8169119979,Innovative asynchronous system engine,false,5
576,9701176480,Versatile client-server product,true,5
577,6972972884,Balanced upward-trending process improvement,false,4
578,2542291179,Profound eco-centric synergy,false,5
579,7861826066,Persevering high-level system engine,false,4
580,414547713,Seamless multi-tasking concept,true,4
581,3085966005,Persevering optimizing groupware,false,1
582,625587456,Streamlined hybrid superstructure,false,1
583,9991075585,Grass-roots reciprocal forecast,true,5
584,5113265470,Mandatory national definition,false,2
585,4098901285,Networked web-enabled local area network,true,2
586,2187968928,Face to face maximized core,true,1
587,8800998410,Enterprise-wide radical portal,false,5
588,2308624892,Quality-focused 6th generation orchestration,true,1
589,5783811424,Diverse 3rd generation concept,true,5
590,7492962037,Phased optimizing methodology,false,2
591,3486920553,Front-line non-volatile hierarchy,false,2
592,7917016773,Stand-alone full-range utilisation,false,2
593,2380201838,Diverse mobile help-desk,false,1
